Number,Title,Overview,Genres
1075,The Man Who Knew Too Much,widescreen technicolor remake hitchcock film title couple vacation morocco young son accidentally stumble upon assassination plot child kidnap ensure silence take matter hand save,Adventure
1076,The Machinist,machinist story trevor reznik lathe operator die insomnia machine shop occupational hazard bad enough normal circumstances yet trevor risk compound fatigue trevor lose ability sleep ordinary insomnia,Thriller
1077,Bridget Jones: The Edge of Reason,bridget jones become uncomfortable relationship mark darcy apart discover conservative voter deal new boss strange contractor worst vacation life,Comedy
1078,St. Vincent,young boy whose parent divorce find unlikely friend mentor misanthropic bawdy hedonistic war veteran live next door,Comedy
1079,Wrong Turn 5: Bloodlines,small west virginia town host legendary mountain man festival halloween throng costume party goers gather wild night music mischief inbred family hillbilly cannibals kill fun trick treat group visit college students,Horror
1080,The Lake House,lonely doctor occupy unusual lakeside home begin exchange love letter former resident frustrate architect must try unravel mystery behind extraordinary romance late,Romance
1081,A Dog's Way Home,dog way home chronicle heartwarming adventure bella dog embark epic mile journey home separate beloved human,Drama
1082,Elysium,year two class people exist wealthy live pristine man make space station call elysium rest live overpopulate ruin earth secretary rhodes jodie foster hard line government ial stop nothing enforce anti immigration laws preserve luxurious lifestyle citizens elysium stop people earth try get mean unlucky max matt damon back corner agree take daunt mission successful save life could bring equality polarize worlds,Science Fiction
1083,Holmes & Watson,detective sherlock holmes dr john watson join force investigate murder buckingham palace soon learn four days solve case queen become next victim,Mystery
1084,Shoplifters,one shoplift sessions osamu son come across little girl freeze cold first reluctant shelter girl osamu wife agree take care learn hardships face although family poor barely make enough money survive petty crime seem live happily together unforeseen incident reveal hide secrets test bond unite,Drama
1085,The Knight of Shadows: Between Yin and Yang,legendary demon hunter track beasts enter human dimension assist lawman protege motley group friendly monsters,Action
1086,The Last of the Mohicans,british french soldier battle control american colonies century settlers native americans force take side cora sister alice unwittingly walk trouble reluctantly save hawkeye orphan settler adopt last mohicans,Action
1087,Vacation,hop bring family closer together recreate childhood vacation kid grow rusty griswold take wife two sons cross country road trip coolest theme park america walley world needle say things go quite plan,Comedy
1088,The Bourne Ultimatum,bourne bring hide reporter simon ross try unveil operation blackbriar upgrade project treadstone series newspaper columns information reporter stir new set memories bourne must finally uncover dark past dodge company best efforts eradicate,Action
1089,A-X-L,life teenage boy forever alter chance encounter cut edge military technology,Science Fiction
1090,Ferdinand,ferdinand little bull prefer sit quietly cork tree smell flower versus jump around snort butt head bull ferdinand grow big strong temperament remain mellow one day five men come choose biggest fastest roughest bull bullfights madrid ferdinand mistakenly choose base classic children book munro leaf,Animation
1091,Pokemon: The First Movie - Mewtwo Strikes Back,adventure explode action debut mewtwo bio engineer pokemon create dna mew rarest pokemon determine prove superiority mewtwo lure ash pikachu others pokemon match like none mewtwo vs mew super clone vs pokemon ultimate showdown future world stake,Animation
1092,Scream 4,sidney prescott author self help book return home woodsboro last stop book tour reconnects sheriff dewey gale marry well cousin jill aunt kate unfortunately sidney appearance also bring return ghostface put sidney gale dewey along jill friends whole town woodsboro danger,Horror
1093,The Evil Dead,group college students find mysterious book record old wilderness cabin rent weekend unwittingly unleash demonic force surround forest,Horror
1094,The Layover,plane rerouted due hurricane warn two single female best friends find compete guy extend layover st louis,Comedy
1095,King Arthur: Legend of the Sword,child arthur father murder vortigern arthur uncle seize crown rob birthright idea truly arthur come hard way back alleys city pull sword excalibur stone life turn upside force acknowledge true legacy whether like,Action
